Display_Name,country,sovereign,Status_GYR,protection_mpaguide_level,establishment_stage,designation,pa_type,area_km2,wdpa_id,wdpa_pid,Boundary_Join_Key,id,site_assessment_id,mpa_zone_id,proposed_date,designated_date,implemented_date,formally_recognized,regulations_in_force,status,affiliated_reports,source_file
iSimangaliso,ZAF,ZAF,Green,high,actively managed,Controlled Catch and Release Zone,"mpa, multiple-objective",2.154915328125,,,,5558,478,68821500.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Peytonia Slough,USA,USA,Green,high,actively managed,State Marine Park,unknown,2.121869203125,,,,2722,2355,7706.0,,,,yes,yes,published,,designated_implemented
Florida Keys,USA,USA,Green,full,actively managed,National Marine Sanctuary,"mpa, primary conservation",2.094219533203125,,None,None,722,102,68808219.0,,1997-01-01,1997-01-01,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
South Humboldt Bay,USA,USA,Green,high,actively managed,State Marine Recreational Management Area,unknown,2.08586336328125,,,,2701,3030,68808064.0,,2012-12-01,,yes,yes,published,,designated_implemented
Aliwal Shoal,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",2.08560947265625,,,,5517,473,68821459.0,,2004-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Pondoland,ZAF,ZAF,Green,full,actively managed,Restricted Zone D,"mpa, multiple-objective",2.066730015625,,,,5600,482,68821542.0,,1991-01-01,2004-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Anacapa Island,USA,USA,Green,high,actively managed,Special Closure (A),unknown,1.99107212109375,,None,None,2390,3180,7606.0,,2005-01-01,2005-01-01,yes,yes,published,,designated_implemented
Marin Islands,USA,USA,Green,high,actively managed,National Wildlife Refuge,unknown,1.89664416796875,,,,2482,2567,8768.0,,1992-01-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",1.8572285,,,,5556,478,68821498.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Duxbury Reef,USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, primary conservation",1.78819834765625,,,,2606,3452,7668.0,,2010-05-01,,yes,yes,published,,designated_implemented
Eastport - Duck Island,CAN,CAN,Green,high,actively managed,Marine Protected Area,unknown,1.767966515625,,,,2302,3403,5431.0,1999-01-01,2005-01-01,2007-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Point Reyes Headlands,USA,USA,Green,full,actively managed,Special Closure,unknown,1.7403624609375,,,,2554,1915,7673.0,,2010-05-01,,yes,yes,published,,designated_implemented
Fagan Marsh,USA,USA,Green,high,actively managed,State Marine Park,"mpa, primary conservation",1.70856669921875,,,,2725,2630,7700.0,,,,yes,yes,published,,designated_implemented
Torre Guaceto,ITA,ITA,Green,full,actively managed,Natural Marine Reserve and Natural Protected Marine Areas,"mpa, primary conservation",1.5758607890625,,15263,15263,1469,70,1227.0,,1991-01-01,2001-01-01,yes,yes,published,,designated_implemented
Salinas River National Wildlife Refuge,USA,USA,Green,high,actively managed,National Wildlife Refuge,unknown,1.54848531640625,,None,None,2500,1053,68819629.0,,1973-01-01,,yes,yes,published,,designated_implemented
Musquash Estuary Zone 1,CAN,CAN,Green,high,actively managed,Marine Protected Area,unknown,1.53464925,,,,2318,517,68813336.0,1998-01-01,2006-01-01,2017-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Namaqua,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, primary conservation",1.51495596875,,,,5621,487,68821563.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Marin Islands,USA,USA,Green,high,actively managed,State Marine Park,unknown,1.41652171484375,,,,2716,2374,7705.0,,,,yes,yes,published,,designated_implemented
Gitdisdzu Lugyeks,CAN,CAN,Green,high,actively managed,Marine Protected Area,"mpa, primary conservation",1.4159671171875,,None,None,3994,139,68821377.0,,2022-06-21,2023-10-31,yes,yes,published,,designated_implemented
Torre Guaceto,ITA,ITA,Green,full,actively managed,Natural Marine Reserve And Natural Protected Marine Areas,unknown,1.41378719140625,,None,None,1470,70,68817267.0,,1991-01-01,2001-01-01,yes,yes,published,,designated_implemented
Namaqua,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",1.37821789453125,,,,5624,487,68821566.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Carmel Pinnacles,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",1.36601737890625,,,,2612,3443,7627.0,,2007-09-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",1.331333984375,,,,5563,478,68821505.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Brijuni,HRV,HRV,Green,full,actively managed,National Park,"mpa, primary conservation",1.2680015,,10940,10940,3666,130,858.0,,1983-01-01,,yes,yes,published,,designated_implemented
Old Providence McBean Lagoon,COL,COL,Green,high,actively managed,National Natural Park,"mpa, primary conservation",1.218680421875,,35271,35271,3155,125,68819781.0,,1995-09-13,,yes,yes,published,,designated_implemented
Gorgona - Intangible Zone,COL,COL,Green,full,actively managed,National Natural Park,"mpa, primary conservation",1.1423481953125,,10754,10754,6108,3660,849.0,,1984-07-19,1984-07-19,yes,yes,published,,designated_implemented
Point Cabrillo,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",1.14152458984375,,,,2674,1764,68808078.0,,2012-12-01,,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",1.1363482421875,,,,6343,146,,,2025-01-01,2025-01-01,yes,yes,published,,designated_implemented
Pondoland,ZAF,ZAF,Green,full,actively managed,Restricted Zone A,"mpa, multiple-objective",1.131429125,,,,5594,482,68821536.0,,1991-01-01,2004-01-01,yes,yes,published,Field et al. (2025),designated_implemented
iSimangaliso,ZAF,ZAF,Green,high,actively managed,Controlled Catch and Release Zone,"mpa, multiple-objective",1.1259168125,,,,5566,478,68821508.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",1.0843363515625,,,,5550,478,68821492.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Namaqua,ZAF,ZAF,Green,high,actively managed,Controlled Zone,"mpa, multiple-objective",1.0485020703125,,,,5623,487,68821565.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Pondoland,ZAF,ZAF,Green,full,actively managed,Restricted Zone B,"mpa, multiple-objective",1.0145387109375,,,,5596,482,68821538.0,,1991-01-01,2004-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Cabrillo,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",1.01147116796875,,,,2681,1750,68808053.0,,2012-01-01,,yes,yes,published,,designated_implemented
Namaqua,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",1.00631419921875,,,,5619,487,68821561.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Flamborough Head [No-Take Zone],GBR,GBR,Green,full,actively managed,Special Areas of Conservation (Habitats Directive),"mpa, primary conservation",0.94542266015625,,None,None,4274,145,68808743.0,2009-01-01,,,yes,yes,published,,designated_implemented
Isla del Coco,CRI,CRI,Green,full,actively managed,National Park,"mpa, primary conservation",0.9286368359375,,170,170,1107,96,68817270.0,,1978-01-01,1978-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Russian River,USA,USA,Green,full,actively managed,State Marine Recreational Management Area,unknown,0.92024994921875,,,,2704,2373,7657.0,,2010-05-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.91446907421875,,,,5568,478,68821510.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Dwesa-Cwebe,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.89647405859375,,,,5496,464,68821438.0,,1991-01-01,2015-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Redwood Shores,USA,USA,Green,high,actively managed,State Marine Park,unknown,0.8922202421875,,,,2670,2588,7707.0,,1976-01-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,high,actively managed,Controlled Catch and Release Zone,"mpa, multiple-objective",0.82957050390625,,,,5562,478,68821504.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Kealakekua Bay Marine Life Conservation District,USA,USA,Green,high,implemented,Subzone B,"mpa, primary conservation",0.78361969921875,,,,528,192,,,1969-01-01,,yes,yes,published,,designated_implemented
Lovers Point - Julia Platt,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",0.76490229296875,,,,2630,3190,7624.0,,2007-09-01,,yes,yes,published,,designated_implemented
Aliwal Shoal,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.75432229296875,,,,5522,473,68821464.0,,2004-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.75395294921875,,,,5548,478,68821490.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Old Providence McBean Lagoon,COL,COL,Green,full,actively managed,National Natural Park,"mpa, primary conservation",0.74256633984375,,35271,35271,3158,125,1862.0,,1995-09-13,,yes,yes,published,,designated_implemented
uThukela,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.7306497265625,,,,5578,480,68821520.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
American Samoa,ASM,USA,Green,full,actively managed,National Marine Sanctuary,"mpa, primary conservation",0.707258642578125,,None,None,642,85,8694.0,,1986-01-01,2012-10-15,yes,yes,published,"Pike et al. (2024), Sullivan-Stack et al. (2022)",designated_implemented
Manele-Hulopoe Zone A,USA,USA,Green,high,implemented,Marine Life Conservation District,"mpa, primary conservation",0.69243628125,,,,519,515,,,1976-01-01,1976-01-01,yes,yes,published,,designated_implemented
Addo Elephant National Park,ZAF,ZAF,Green,high,actively managed,Controlled Zone,"mpa, multiple-objective",0.68603144921875,,,,5507,466,68821449.0,2016-02-01,2019-05-01,2019-05-01,yes,yes,published,Field et al. (2025),designated_implemented
Albany Mudflats,USA,USA,Green,high,actively managed,State Marine Park,unknown,0.66692108984375,,,,2717,2615,7693.0,,,,yes,yes,published,,designated_implemented
Natural Bridges,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",0.657549,,,,2622,3440,7616.0,,2007-01-01,,yes,yes,published,,designated_implemented
Cabrillo National Monument,USA,USA,Green,full,implemented,National Monument,unknown,0.64753477734375,,,,2848,1373,8340.0,,,,yes,yes,published,,designated_implemented
Cerbère-Banyuls,FRA,FRA,Green,full,actively managed,National Nature Reserve,"mpa, primary conservation",0.64050692578125,,None,None,483,128,68817263.0,,1974-02-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,high,actively managed,Controlled Catch and Release Zone,"mpa, multiple-objective",0.6293721640625,,,,5564,478,68821506.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Chumbe Island Coral Park (CHICOP),TZA,TZA,Green,full,actively managed,Sanctuary and Closed Forest Reserve,unknown,0.6283493828125,,72397,72397,944,3354,2483.0,,1994-01-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.59892404296875,,,,5553,478,68821495.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Edward F. Ricketts,USA,USA,Green,high,actively managed,State Marine Conservation Area,unknown,0.5965269453125,,,,2615,3442,7622.0,,2007-09-01,,yes,yes,published,,designated_implemented
Farallon National Wildlife Refuge,USA,USA,Green,high,actively managed,National Wildlife Refuge,"mpa, primary conservation",0.58737366015625,,None,None,2488,859,68819586.0,,1909-01-01,,yes,yes,published,,designated_implemented
Elkhorn Slough,USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, primary conservation",0.5607589375,,,,2575,3221,7618.0,,2007-09-01,,yes,yes,published,,designated_implemented
Del Mar Landing,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",0.560048328125,,,,2611,3197,7652.0,,2010-05-01,,yes,yes,published,,designated_implemented
North Farallon Islands,USA,USA,Green,full,actively managed,Special Closure,unknown,0.55133677734375,,,,2491,3455,7678.0,,1909-01-01,,yes,yes,published,,designated_implemented
Moro Cojo Slough,USA,USA,Green,high,actively managed,State Marine Reserve,"mpa, primary conservation",0.52633949609375,,,,2695,1076,7619.0,,2007-09-01,,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.524858015625,,None,None,4327,146,68821415.0,2015-01-01,2016-01-01,2017-01-01,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.502092515625,,None,None,4328,146,68821416.0,,2020-01-01,2023-01-01,yes,yes,published,,designated_implemented
Ygrotopos kai akti Psalidiou Dimou Ko,GRC,GRC,Green,full,implemented,Periochi Prostasias tis Fysis,"mpa, primary conservation",0.49153792578125,,341918,341918,3184,3249,11507.0,,2006-07-06,,yes,unknown,published,Giakoumi et al. (2023),designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.49150833984375,,None,None,4330,146,68821418.0,,2022-01-01,2023-01-01,yes,yes,published,,designated_implemented
Anacapa Island,USA,USA,Green,high,actively managed,Special Closure (B),unknown,0.48169670703125,,None,None,2550,3410,68819703.0,,2005-01-01,2005-01-01,yes,yes,published,,designated_implemented
Ten Mile Estuary,USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, primary conservation",0.4772325390625,,,,2705,2730,7689.0,,2012-12-01,,yes,yes,published,,designated_implemented
Southeast Farallon Island,USA,USA,Green,full,actively managed,Special Closure,unknown,0.4772048671875,,,,2493,3456,7679.0,1969-01-01,2010-01-01,2011-01-01,yes,yes,published,,designated_implemented
Kealakekua Bay Marine Life Conservation District,USA,USA,Green,full,implemented,Subzone A,"mpa, primary conservation",0.449474048828125,,,,527,192,,,1969-01-01,,yes,yes,published,,designated_implemented
Namaqua,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.41449157421875,,,,5616,487,68821558.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Hanauma Bay Marine Life Conservation District,USA,USA,Green,full,actively managed,Marine Protected Area,"mpa, primary conservation",0.4078172525634765,,21022,21022,119,3460,8141.0,,1967-01-01,1967-01-01,yes,yes,published,,designated_implemented
Scripps,USA,USA,Green,high,implemented,Coastal Reserve,unknown,0.35672086328125,,None,None,2842,2605,68819738.0,,,,yes,yes,published,,designated_implemented
Gwaii Haanas - Restricted Access Zone,CAN,CAN,Green,high,actively managed,National Marine Conservation Area,unknown,0.35432921875,,,,2310,100,68813319.0,2002-01-01,2010-01-01,2018-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Basin Head Marine Protected Area,CAN,CAN,Green,high,actively managed,Marine Protected Area,unknown,0.35414758984375,,555512144,555512144,2299,112,5432.0,1999-01-01,2005-01-01,2009-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Estero Americano,USA,USA,Green,full,actively managed,State Marine Recreational Management Area,unknown,0.339269796875,,,,2663,3234,7661.0,,2010-05-01,,yes,yes,published,,designated_implemented
Hopkins Marine Life Refuge,USA,USA,Green,full,actively managed,Marine Reserve,"mpa, primary conservation",0.33802164453125,,None,None,2435,1744,68819591.0,1931-06-19,1931-06-27,,yes,yes,published,,designated_implemented
Eastport - Round Island,CAN,CAN,Green,high,actively managed,Marine Protected Area,unknown,0.330399421875,,,,2303,3170,68816870.0,1999-01-01,2005-01-01,2007-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Big River Estuary,USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, multiple-objective",0.3238703671875,,,,2686,2303,68808080.0,,2012-12-01,,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.3074461328125,,None,None,4338,146,68821420.0,,,,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.30349242578125,,None,None,4329,146,68821417.0,,2021-01-01,2023-01-01,yes,yes,published,,designated_implemented
Table Mountain National Park,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.30012609765625,,,,5583,481,68821525.0,,1981-01-01,2004-01-01,yes,yes,published,Field et al. (2025),designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.29675697265625,,,,5565,478,68821507.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Moku-o-loe Island (Coconut Island) Marine Laboratory Refuge,USA,USA,Green,high,actively managed,Marine Protected Area,"mpa, primary conservation",0.2963175,,555655650,555655650,6195,3730,,,,,yes,yes,published,,designated_implemented
San Dieguito Lagoon,USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, multiple-objective",0.29301376171875,,,,2703,2352,68808055.0,,2012-01-01,,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.247425921875,,,,6344,146,,,2025-01-01,2025-01-01,yes,yes,published,,designated_implemented
Basin Head Marine Protected Area,CAN,CAN,Green,high,actively managed,Marine Protected Area,unknown,0.241572703125,,555512144,555512144,2301,112,68819728.0,1999-01-01,2005-01-01,2009-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Navarro River Estuary,USA,USA,Green,high,actively managed,State Marine Conservation Area,unknown,0.236203546875,,,,2690,2270,68808082.0,,2012-12-01,,yes,yes,published,,designated_implemented
Molokini Shoal,USA,USA,Green,high,actively managed,Subzone B,"mpa, primary conservation",0.19478175,,,,6348,3246,,,1977-01-01,,yes,yes,published,,designated_implemented
Aliwal Shoal,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.19257117578125,,,,5523,473,68821465.0,,2004-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Estero de San Antonio,USA,USA,Green,full,actively managed,State Marine Recreational Management Area,unknown,0.1884017265625,,,,2664,3235,7662.0,,2010-05-01,,yes,yes,published,,designated_implemented
Honolua-Mokuleia Bay Marine Life Conservation District,USA,USA,Green,high,implemented,Marine Protected Area,"mpa, primary conservation",0.1820425479736328,,555655628,555655628,120,3205,8139.0,,,,yes,yes,published,,designated_implemented
Siete Pecados,PHL,PHL,Green,full,actively managed,Marine Park,"mpa, primary conservation",0.16731782421875,,None,None,4253,137,68821372.0,2004-01-01,2005-01-01,2005-01-01,yes,yes,published,,designated_implemented
Molokini Shoal,USA,USA,Green,full,implemented,Subzone A,"mpa, primary conservation",0.160675859375,,,,6347,3246,,,1977-01-01,,yes,yes,published,,designated_implemented
Lover's Cove (Catalina Island),USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, multiple-objective",0.15694554296875,,,,2655,1897,68808036.0,,,2012-01-01,yes,yes,published,,designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.15500704296875,,None,None,4339,146,68821419.0,,,,yes,yes,published,,designated_implemented
Stilbaai,ZAF,ZAF,Green,high,actively managed,Restricted Zone,"mpa, multiple-objective",0.14889301171875,,,,5602,483,68821544.0,,2008-01-01,2008-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Shark Fin Bay,PHL,PHL,Green,full,actively managed,Marine Protected Area,"mpa, multiple-objective",0.14676682421875,,None,None,4340,146,68821421.0,,,,yes,yes,published,,designated_implemented
Gorgona - General Recreation Area,COL,COL,Green,full,actively managed,National Natural Park,"mpa, multiple-objective",0.14294371875,,10754,10754,6109,3660,849.0,,1984-07-19,1984-07-19,yes,yes,published,,designated_implemented
Castle Rock,USA,USA,Green,full,actively managed,Special Closure,unknown,0.1392664296875,,,,2497,2356,68808059.0,,2012-01-01,,yes,yes,published,,designated_implemented
Egg (Devil's Slide) Rock to Devil's Slide,USA,USA,Green,full,actively managed,Special Closure,unknown,0.129892640625,,,,2498,3454,7676.0,,2010-01-01,,yes,yes,published,,designated_implemented
Sugarloaf Island,USA,USA,Green,full,actively managed,Special Closure,unknown,0.08414177734375,,,,2507,1699,68808065.0,,2012-01-01,,yes,yes,published,,designated_implemented
Double Point/Stormy Stack Rock,USA,USA,Green,full,actively managed,Special Closure,unknown,0.0582195703125,,,,2559,3238,7675.0,,2010-05-01,,yes,yes,published,,designated_implemented
Southwest Seal Rock,USA,USA,Green,full,actively managed,Special Closure,unknown,0.05787304296875,,,,2560,865,68808058.0,,2012-12-01,,yes,yes,published,,designated_implemented
Castle Rock National Wildlife Refuge,USA,USA,Green,full,actively managed,National Wildlife Refuge,"mpa, primary conservation",0.05549430078125,,None,None,2485,2243,68819595.0,1978-01-01,1980-01-01,,yes,yes,published,,designated_implemented
Siete Pecados,PHL,PHL,Green,high,actively managed,Marine Park,"mpa, primary conservation",0.05228876171875,,None,None,4250,137,68821369.0,2020-01-01,2023-01-01,2023-01-01,yes,yes,published,,designated_implemented
Southeast Farallon Special Closure B,USA,USA,Green,full,actively managed,Special Closure,unknown,0.0518659140625,,None,None,2495,2058,68819585.0,1969-01-01,2010-01-01,2011-01-01,yes,yes,published,,designated_implemented
Aliwal Shoal,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",0.04039905078125,,,,5518,473,68821460.0,,2004-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Point Resistance Rock,USA,USA,Green,full,actively managed,Special Closure,unknown,0.0377413671875,,,,2566,2324,7674.0,,2010-05-01,,yes,yes,published,,designated_implemented
Gerstle Cove,USA,USA,Green,full,actively managed,State Marine Reserve,"mpa, primary conservation",0.02632186328125,,,,2616,3169,7656.0,,2009-01-01,2010-01-01,yes,yes,published,,designated_implemented
Casino Point (Catalina Island),USA,USA,Green,high,actively managed,State Marine Conservation Area,"mpa, primary conservation",0.01916174609375,,,,2654,2625,68808035.0,,,2012-01-01,yes,yes,published,,designated_implemented
Natural Park of the Coral Sea,NCL,FRA,Red,incompatible,actively managed,Natural Park,unknown,1289305.5512769336,,555577562,555577562,741,8,15625.0,2012-09-04,2014-04-23,2018-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Terres Australes Françaises,ATF,FRA,Red,incompatible,actively managed,Protection zone around Nature Reserve,"mpa, primary conservation",988372.4792005488,,,,733,30,68808360.0,,2006-10-03,2016-12-12,yes,yes,published,Pike et al. (2024),designated_implemented
South Georgia and South Sandwich Islands,SGS,GBR,Red,incompatible,actively managed,Marine Protected Area,unknown,705225.3557460108,,None,None,322,5,9259.0,,2012-02-23,2013-08-31,yes,yes,published,Pike et al. (2024),designated_implemented
Coral Sea,AUS,AUS,Red,incompatible,actively managed,Marine Park,"mpa, multiple-objective",655129.3751729355,,555556875_B,555556875_B,352,27,68808921.0,,2013-12-14,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Terres Australes Françaises,ATF,FRA,Red,incompatible,actively managed,National Nature Reserve,"mpa, primary conservation",546260.0028555273,,,,767,30,7706819.0,,2006-10-03,2016-12-12,yes,yes,published,Pike et al. (2024),designated_implemented
Kermadec,NZL,NZL,Red,incompatible,implemented,Benthic Protection Area,unknown,458566.9659535489,,555512062,555512062,348,136,5428.0,,,2007-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Area de Proteção Ambiental do Arquipelago de Trindade e Martim Vaz,BRA,BRA,Red,incompatible,implemented,Environmental Protection Area,"mpa, primary conservation",403844.1891417324,,555635930,555635930,341,153,68808469.0,,2018-09-18,,yes,yes,published,Pike et al. (2024),designated_implemented
Area de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,BRA,BRA,Red,incompatible,implemented,Environmental Protection Area,"mpa, multiple-objective",384562.1316993633,,555635931,555635931,342,152,68808468.0,,2018-09-18,,yes,yes,published,Pike et al. (2024),designated_implemented
Pacífico Mexicano Profundo,MEX,MEX,Red,incompatible,implemented,Biosphere Reserve,unknown,314245.6422755979,,555624307_A,555624307_A,67,79,68808628.0,,2016-01-01,2018-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Heard Island and McDonald Islands - Habitat Protection Zone,AUS,AUS,Red,incompatible,implemented,Marine Reserve,"mpa, multiple-objective",169684.70658642575,,,,5977,3552,,2024-07-05,2024-12-05,2025-01-24,no,no,published,,designated_implemented
Kermadec,NZL,NZL,Red,incompatible,implemented,Benthic Protection Area,unknown,160605.52181617578,,478297,478297,1880,136,5284.0,,,2007-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Norfolk,AUS,AUS,Red,incompatible,actively managed,Marine Park,unknown,138796.38893118556,,555556895_B,555556895_B,628,84,68808861.0,,2012-01-01,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Pacífico Mexicano Profundo,MEX,MEX,Red,incompatible,implemented,Biosphere Reserve,unknown,121724.83030247764,,555624307_B,555624307_B,66,79,68808627.0,,2016-01-01,2018-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Palau,PLW,PLW,Red,incompatible,implemented,Domestic Fishing Zone,"mpa, multiple-objective",116707.28658455664,,555645488,555645488,357,89,68808187.0,2014-01-01,2015-10-28,2020-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Great Barrier Reef,AUS,AUS,Red,incompatible,actively managed,Marine Park,"mpa, primary conservation",116508.55109738672,,2628_E,2628_E,751,68,68817279.0,1975-01-01,2003-01-01,2004-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Izu-Ogasawara Trench,JPN,JPN,Red,incompatible,implemented,Offshore Seabed Nature Conservation Area,"mpa, primary conservation",115746.01028198436,,None,None,3036,3477,68819848.0,2020-07-21,2020-12-03,,yes,yes,published,Pike et al. (2024),designated_implemented
Prince Edward Islands,ZAF,ZAF,Red,incompatible,implemented,Marine Protected Area,unknown,113275.37076339844,,None,None,325,6,68808364.0,2008-01-01,,2013-06-21,yes,yes,published,Pike et al. (2024),designated_implemented
Ross Sea Region,ABNJ,ABNJ,Red,incompatible,actively managed,Marine Protected Area (CCAMLR),unknown,109563.66383853662,,555624810_E,555624810_E,316,4,68808295.0,2012-01-01,2016-10-28,2017-12-01,yes,yes,published,"Brooks et al. (2021), Pike et al. (2024), Nocito et al. (2022)",designated_implemented
Argo-Rowley Terrace,AUS,AUS,Red,incompatible,actively managed,Marine Park,unknown,108812.0399202871,,555556868_B,555556868_B,301,11,68808841.0,2013-12-14,2017-10-09,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
South-west Corner,AUS,AUS,Red,incompatible,actively managed,Marine Park,unknown,106601.59514625392,,555556901_C,555556901_C,309,47,68808867.0,,2013-12-04,2017-10-09,yes,yes,published,Pike et al. (2024),designated_implemented
