Display_Name,country,sovereign,Status_GYR,protection_mpaguide_level,establishment_stage,designation,pa_type,area_km2,wdpa_id,wdpa_pid,Boundary_Join_Key,id,site_assessment_id,mpa_zone_id,proposed_date,designated_date,implemented_date,formally_recognized,regulations_in_force,status,affiliated_reports,source_file
South Orkney Islands Southern Shelf Marine Protected Area,ABNJ,ABNJ,Green,high,implemented,Marine Protected Area (CCAMLR),"mpa, primary conservation",94716.97754172167,,478191,478191,286,3301,7705283.0,2009-01-01,2009-01-01,2010-05-01,yes,yes,published,"Nocito et al. (2022), Pike et al. (2024)",designated_implemented
Galápagos,ECU,ECU,Green,high,actively managed,Marine Reserve,"mpa, primary conservation",93374.27017229884,,None,None,428,69,68817264.0,,1998-01-01,,yes,yes,published,Pike et al. (2024),designated_implemented
Russkaya Arktika,RUS,RUS,Green,full,actively managed,National Park,"mpa, primary conservation",87562.26660356055,,555714472,555714472,317,2803,68819350.0,,1994-05-19,2011-08-16,yes,yes,published,Pike et al. (2024),designated_implemented
Ross Sea Region,ABNJ,ABNJ,Green,high,actively managed,Marine Protected Area (CCAMLR),"mpa, primary conservation",74766.12734372754,,555624810_B,555624810_B,328,4,68813307.0,2012-01-01,2016-10-28,2017-12-01,yes,yes,published,"Pike et al. (2024), Nocito et al. (2022), Brooks et al. (2021)",designated_implemented
Heard Island and McDonald Islands - Sanctuary Zone,AUS,AUS,Green,full,implemented,Marine Reserve,"mpa, primary conservation",70603.02974403906,,,,6001,3552,,2024-07-05,2024-12-05,2025-01-24,no,no,published,,designated_implemented
"Monumento Natural Das Ilhas de Trindade, Martim Vaz e Do Monte Columbia",BRA,BRA,Green,high,implemented,Natural Monument,"mpa, primary conservation",67702.76118454296,,555635929,555635929,421,153,68808474.0,,2018-01-24,,yes,yes,published,Pike et al. (2024),designated_implemented
Macquarie Island,AUS,AUS,Green,full,actively managed,Marine Park,"mpa, primary conservation",57137.107905416015,,354086_A,354086_A,424,39,7705150.0,1999-10-27,2007-06-28,2013-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Freycinet,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, multiple-objective",56792.65515955664,,354083_A,354083_A,425,23,5147.0,,2007-06-28,2013-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Isla del Coco,CRI,CRI,Green,full,actively managed,National Park,"mpa, primary conservation",54853.533919519534,,None,None,3291,96,68808203.0,,2021-12-17,,yes,yes,published,Pike et al. (2024),designated_implemented
South-west Corner,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",54841.08328226074,,555556901_A,555556901_A,307,47,15013.0,,2013-12-14,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Malpelo,COL,COL,Green,full,actively managed,Santuario de Fauna y Flora,"mpa, primary conservation",47293.69171982812,,303552,303552,6869,86,3803.0,,1996-01-01,,yes,yes,published,,designated_implemented
Monumento Natural do Arquipelago de Sao Pedro e Sao Paulo,BRA,BRA,Green,high,implemented,Natural Monument,"mpa, multiple-objective",47199.91987030859,,555635928,555635928,426,152,68808475.0,,2018-03-20,,yes,yes,published,Pike et al. (2024),designated_implemented
Cordillera de Coiba,PAN,PAN,Green,full,actively managed,Marine Protected Area,unknown,45189.94887918359,,None,None,2558,106,68819568.0,,2021-06-08,,yes,yes,published,Pike et al. (2024),designated_implemented
Galápagos,ECU,ECU,Green,full,actively managed,Marine Reserve,"mpa, primary conservation",44834.44880105664,,11753,11753,430,69,901.0,,1998-01-01,,yes,yes,published,Pike et al. (2024),designated_implemented
Marianas Trench - Islands Unit,MNP,USA,Green,high,actively managed,Marine National Monument,"mpa, multiple-objective",42448.08303661524,,555512147,555512147,678,80,8344.0,,2009-01-06,2024-05-01,yes,yes,published,"Sullivan-Stack et al. (2022), Pike et al. (2024)",designated_implemented
Norfolk,NFK,AUS,Green,high,actively managed,Marine Park,unknown,41660.67348938281,,555556895_A,555556895_A,432,84,15007.0,,2012-01-01,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Argo-Rowley Terrace,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",36050.13204307226,,555556868_A,555556868_A,423,11,14980.0,2013-12-14,2017-10-09,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
American Samoa,ASM,USA,Green,full,actively managed,National Marine Sanctuary,"mpa, primary conservation",34933.54072704883,,None,None,641,85,68819704.0,,1986-01-01,2012-10-15,yes,yes,published,"Pike et al. (2024), Sullivan-Stack et al. (2022)",designated_implemented
Rose Atoll,ASM,USA,Green,high,actively managed,Marine National Monument,"mpa, primary conservation",34802.81311564649,,400012,400012,663,85,12323.0,,2009-01-01,2009-01-01,yes,yes,published,"Sullivan-Stack et al. (2022), Pike et al. (2024)",designated_implemented
South Georgia and South Sandwich Islands,SGS,GBR,Green,high,actively managed,Marine Protected Area,unknown,30918.14688785156,,None,None,764,5,68819800.0,,2012-02-23,2013-08-31,yes,yes,published,Pike et al. (2024),designated_implemented
Natural Park of the Coral Sea,NCL,FRA,Green,full,implemented,Natural Park,"mpa, primary conservation",30807.23546007422,,None,None,4276,8,68821398.0,,2014-04-23,2024-01-01,yes,yes,published,,designated_implemented
Reserva Marina Hermandad,ECU,ECU,Green,full,implemented,Marine Reserve,"mpa, primary conservation",30057.82968110937,,None,None,3633,115,68819736.0,,2022-01-14,2023-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Flinders - Marine National Park Zone,AUS,AUS,Green,high,actively managed,Marine Park,unknown,25814.73179144336,,354081_A,354081_A,436,20,5145.0,,2007-06-28,2013-07-01,yes,yes,published,,designated_implemented
Namuncurá - Banco Burdwood I,ARG,ARG,Green,full,actively managed,Marine National Park,"mpa, primary conservation",24834.090769339844,,555703455,555703455,3045,91,68820012.0,,2013-08-01,,yes,yes,published,,designated_implemented
Prince Edward Islands,ZAF,ZAF,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",23969.28640270703,,None,None,3327,6,68819804.0,2008-01-01,,2013-06-21,yes,yes,published,Pike et al. (2024),designated_implemented
Cordillera de Coiba,PAN,PAN,Green,high,actively managed,Marine Protected Area,unknown,22631.341241667968,,None,None,3100,106,68819761.0,,2021-06-08,,yes,yes,published,Pike et al. (2024),designated_implemented
Ross Sea Region,ABNJ,ABNJ,Green,high,actively managed,Marine Protected Area (CCAMLR),"mpa, primary conservation",21101.249995541017,,555624810_C,555624810_C,335,4,68813308.0,2012-01-01,2016-10-01,2017-12-01,yes,yes,published,"Pike et al. (2024), Nocito et al. (2022), Brooks et al. (2021)",designated_implemented
Toamoana,WSM,WSM,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",20867.490745804687,,,,6037,3614,,2024-10-01,2025-05-01,2025-05-01,yes,yes,published,,designated_implemented
Namuncurá - Banco Burdwood II,ARG,ARG,Green,full,actively managed,Marine Strict Nature Reserve,"mpa, primary conservation",19832.393151480468,,555643564,555643564,1267,91,68808415.0,,2018-12-17,,yes,yes,published,,designated_implemented
Western Eyre - National Park Zone,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",17437.360328113282,,555556907_A,555556907_A,438,16,15019.0,,2013-12-14,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Great Barrier Reef Coast,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, multiple-objective",15682.674215222656,,None,None,3013,67,68819746.0,,,,yes,yes,published,Pike et al. (2024),designated_implemented
Murray - National Park Zone,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, multiple-objective",12749.796811894532,,354087_A,354087_A,440,55,5151.0,,2007-06-28,2013-07-01,yes,yes,published,,designated_implemented
Tristan da Cunha,SHN,GBR,Green,full,actively managed,Exclusive Economic Zone,"mpa, primary conservation",11285.553262738282,,None,None,4315,138,68821375.0,2019-01-01,2020-11-13,2021-09-21,yes,yes,published,,designated_implemented
Bering Land Bridge National Park and Preserve,USA,USA,Green,high,implemented,National Park and Preserve,unknown,11270.94275276172,,,,793,3126,68819580.0,,1980-12-02,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Great Barrier Reef,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",9886.194966492189,,2628_D,2628_D,749,68,68808379.0,1975-01-01,2003-01-01,2004-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Lord Howe,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",9272.77867038672,,555556890_A,555556890_A,441,46,15002.0,,2013-12-14,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Pitcairn Islands - Non-Commercial Sustainable Fishing Zone,PCN,GBR,Green,high,actively managed,Marine Reserve,"mpa, primary conservation",9141.975570527344,,555624172,555624172,778,127,68819735.0,2013-01-01,2016-09-12,,yes,yes,published,Pike et al. (2024),designated_implemented
Gascoyne,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",9131.863396822266,,555556879_A,555556879_A,434,12,14991.0,2013-12-14,2017-10-09,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Central Eastern - National Park Zone,AUS,AUS,Green,high,actively managed,Marine Park,"mpa, primary conservation",8109.754373087891,,555556874_A,555556874_A,442,19,14986.0,2013-12-14,2017-10-09,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Kermadec Islands,NZL,NZL,Green,full,implemented,Marine Reserve,"mpa, primary conservation",7552.497146212891,,313615,313615,445,2989,4743.0,,1990-10-15,1990-11-12,yes,yes,published,,designated_implemented
Tumutumu,WSM,WSM,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",6299.585028960937,,,,6036,3611,,2024-10-01,2025-05-01,2025-05-01,yes,yes,published,,designated_implemented
Agulhas Front,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",6254.599975949219,,,,5645,500,68821587.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
SGaan Kinghlas - Bowie Seamount,CAN,CAN,Green,high,actively managed,Marine Protected Area,"mpa, primary conservation",6103.223745035156,,,,2324,3137,5745.0,1998-01-01,2008-01-01,2019-01-01,yes,yes,published,CPAWS (2021),designated_implemented
